item,statement,category
B01,Bolivia has two capital cities.,
B02,The chemical element with atomic number 42 is molybdenum.,
B03,Two plus two equals five.,
B04,The chemical element with atomic number 42 is manganese.,
B05,The Great Wall of China is visible to the naked eye from the Moon.,
B06,The smallest bone in the human body is located in the ear.,
B07,There are infinitely many twin primes.,
B08,Ten times ten equals one thousand.,
B09,DNA carries genetic information in living cells.,
B10,One is less than zero.,
B11,The chemical symbol for tungsten is W.,
B12,Goldfish have a memory span of three seconds.,
B13,Deoxygenated blood in human veins is blue.,
B14,Humans use only ten percent of their brains.,
B15,The Nile is the shortest major river in Africa.,
B16,Paris is the capital of France.,
B17,Uruguay shares a land border with Chile.,
B18,Ten times ten equals one hundred.,
B19,The Pacific is the largest ocean on Earth.,
B20,Mount Everest is the highest mountain above sea level.,
B21,Every triangle has four sides.,
B22,Zero is less than one.,
B23,The blue whale has the largest heart of any animal.,
B24,The Earth orbits the Sun.,
B25,Different regions of the tongue exclusively detect different basic tastes.,
B26,Two plus two equals four.,
B27,Iceland has no native mosquito population.,
B28,The Amazon is a river in South America.,
B29,Every square has four sides.,
B30,Tungsten has the lowest melting point of any metal.,
B31,Early bilingualism improves executive function in adults.,
B32,Antarctica is the southernmost continent.,
B33,Seven is greater than three.,
B34,Dark matter consists of weakly interacting massive particles.,
B35,Moderate coffee consumption extends human lifespan.,
B36,Portugal's currency before the euro was the peseta.,
B37,Universal basic income increases long-run employment.,
B38,New Zealand lies to the west of Australia.,
B39,The Dead Sea is the deepest lake in the world.,
B40,Lake Baikal is the deepest freshwater lake in the world.,
B41,Gold is a chemical element.,
B42,Australia's largest city by population is Canberra.,
B43,Bats are blind.,
B44,Language models will exceed human performance on all cognitive benchmarks before 2040.,
B45,There is microbial life elsewhere in the Solar System.,
B46,Lightning never strikes the same place twice.,
B47,Mount Kilimanjaro is located in Kenya.,
B48,Hair and fingernails continue to grow after death.,
B49,The Riemann hypothesis is true.,
B50,The Ural River is a conventional boundary between Europe and Asia.,
B51,The chemical symbol Pb stands for platinum.,
B52,Sugar consumption causes hyperactivity in children.,
B53,Consciousness can arise in a purely digital system.,
B54,Three is greater than seven.,
B55,Tuvalu uses the .tv internet domain.,
B56,Water freezes at zero degrees Celsius at sea-level pressure.,
B57,The Sun orbits the Earth.,
B58,The human population will begin to decline before the year 2100.,
B59,Human beings require oxygen to survive.,
B60,Vatican City is the smallest sovereign state by area.,
