item,statement,category
A01,Water freezes at zero degrees Celsius at sea-level pressure.,
A02,The price of copper will exceed ten thousand dollars a tonne in 2031.,
A03,The quantity of gold still buried in unmapped deposits exceeds all gold ever mined.,
A04,A cup of coffee at 55 degrees Celsius is hot.,
A05,Breaking a promise in order to prevent a serious injury is the right action.,
A06,A magnitude eight earthquake will strike Chile before 2035.,
A07,The sentence that asserts its own unbelievability should be believed.,
A08,A heap of 12 grains of wheat is a heap.,
A09,Two plus two equals four.,
A10,Publishing a leak that exposes corruption and endangers a source is ethical journalism.,
A11,Conscripting citizens to defend against an invasion is legitimate.,
A12,"A person with 1,300 hairs on their head is bald.",
A13,Snow will fall in Quito next January.,
A14,A meal costing eight per cent of a daily wage is expensive.,
A15,The smallest positive integer not definable in under twelve words has just been defined.,
A16,Quechua will have more speakers in 2075 than today.,
A17,The claim written on the other side of this card is untrue.,
A18,Withholding a terminal diagnosis at a family's request respects the patient.,
A19,The number of neurons in the brain of the last mammoth was even.,
A20,The number of distinct human languages ever spoken is greater than thirty thousand.,
A21,Every bachelor is unmarried.,
A22,A prisoner told they will be hanged on a day they cannot expect can be surprised.,
A23,The number of grains of sand on Earth is odd.,
A24,It is raining or it is not raining.,
A25,Paying a bribe to release medical supplies held at customs is defensible.,
A26,Using a dying language's sacred texts to train a public model honours the community.,
A27,The exact number of words spoken on Earth yesterday is divisible by nine.,
A28,Guayaquil is a city in Ecuador.,
A29,A man who is 1.75 metres tall is tall.,
A30,Smoking tobacco raises the risk of lung cancer.,
A31,Sea level at Guayaquil will rise by half a metre this century.,
A32,The next pandemic will originate in a non-human mammal.,
A33,Every triangle has three sides.,
A34,"A settlement of 4,000 inhabitants is a city.",
A35,The number of atoms in the observable universe ends in a seven.,
A36,A forest that has lost 40 per cent of its canopy is deforested.,
A37,This statement cannot be proved.,
A38,The Earth completes one orbit of the Sun in about 365 days.,
A39,Reporting a colleague who falsified data but would lose their visa is the correct choice.,
A40,The number of undiscovered shipwrecks in the Pacific exceeds one hundred thousand.,
A41,A map contained entirely within the territory it depicts depicts itself accurately.,
A42,The set of all sets that are not members of themselves is a member of itself.,
A43,Nothing is both entirely red and entirely green all over.,
A44,The total number of species that existed before the Cambrian is a prime number.,
A45,The number of prime numbers below the largest integer ever written down is odd.,
A46,This sentence is false.,
A47,Human beings require oxygen to survive.,
A48,A river that runs dry for four months a year is a permanent river.,
A49,Diverting scarce medicine from an elderly patient to a child is justified.,
A50,A dialect understood by 60 per cent of neighbouring speakers is a separate language.,
A51,The barber who shaves exactly those who do not shave themselves shaves himself.,
A52,A woman will be elected president of Peru in the next election.,
A53,Lying to protect a refugee from deportation is morally permissible.,
A54,A student who answered 59 out of 100 correctly has passed.,
A55,The count of raindrops that fell on Quito in 1804 is a multiple of four.,
A56,A crewed mission will reach Mars before 2045.,
A57,A treaty on autonomous weapons will be signed before 2030.,
A58,Refusing life support that the patient once requested in writing follows their wishes.,
A59,The rule that every rule has an exception has an exception.,
A60,The Amazon will lose a fifth of its remaining canopy by 2040.,
