phenomenon,rung,n_items,mean,sd_between_items,min,max
contingency,strong,10,0.011,0.023,0.0,0.056
contingency,weak,10,0.926,0.082,0.765,1.0
contingency,very_weak,10,0.052,0.064,0.0,0.176
ethical,strong,10,0.222,0.211,0.0,0.667
ethical,weak,10,0.772,0.217,0.333,1.0
ethical,very_weak,10,0.0,0.0,0.0,0.0
ignorance,strong,10,0.011,0.035,0.0,0.111
ignorance,weak,10,0.612,0.236,0.333,1.0
ignorance,very_weak,10,0.174,0.12,0.0,0.333
paradox,strong,10,0.117,0.193,0.0,0.556
paradox,weak,10,0.75,0.221,0.444,1.0
paradox,very_weak,10,0.067,0.107,0.0,0.333
vagueness,strong,10,0.044,0.073,0.0,0.222
vagueness,weak,10,0.928,0.091,0.778,1.0
vagueness,very_weak,10,0.022,0.039,0.0,0.111
