item,statement,category
S01,Water freezes at zero degrees Celsius at sea-level pressure.,
S02,The price of copper will exceed ten thousand dollars a tonne in 2031.,
S03,The quantity of gold still buried in unmapped deposits exceeds all gold ever mined.,
S04,A cup of coffee at 55 degrees Celsius is hot.,
S05,Breaking a promise in order to prevent a serious injury is the right action.,
S06,A magnitude eight earthquake will strike Chile before 2035.,
S07,The sentence that asserts its own unbelievability should be believed.,
S08,A heap of 12 grains of wheat is a heap.,
S09,Two plus two equals four.,
S10,Publishing a leak that exposes corruption and endangers a source is ethical journalism.,
S11,Conscripting citizens to defend against an invasion is legitimate.,
S12,"A person with 1,300 hairs on their head is bald.",
S13,Snow will fall in Quito next January.,
S14,A meal costing eight per cent of a daily wage is expensive.,
S15,The smallest positive integer not definable in under twelve words has just been defined.,
S16,Quechua will have more speakers in 2075 than today.,
S17,The claim written on the other side of this card is untrue.,
S18,Withholding a terminal diagnosis at a family's request respects the patient.,
S19,The number of neurons in the brain of the last mammoth was even.,
S20,The number of distinct human languages ever spoken is greater than thirty thousand.,
S21,Every bachelor is unmarried.,
S22,A prisoner told they will be hanged on a day they cannot expect can be surprised.,
S23,The number of grains of sand on Earth is odd.,
S24,It is raining or it is not raining.,
S25,Paying a bribe to release medical supplies held at customs is defensible.,
S26,Using a dying language's sacred texts to train a public model honours the community.,
S27,The exact number of words spoken on Earth yesterday is divisible by nine.,
S28,Guayaquil is a city in Ecuador.,
S29,A man who is 1.75 metres tall is tall.,
S30,Smoking tobacco raises the risk of lung cancer.,
S31,Sea level at Guayaquil will rise by half a metre this century.,
S32,The next pandemic will originate in a non-human mammal.,
S33,Every triangle has three sides.,
S34,"A settlement of 4,000 inhabitants is a city.",
S35,The number of atoms in the observable universe ends in a seven.,
S36,A forest that has lost 40 per cent of its canopy is deforested.,
S37,This statement cannot be proved.,
S38,The Earth completes one orbit of the Sun in about 365 days.,
S39,Reporting a colleague who falsified data but would lose their visa is the correct choice.,
S40,The number of undiscovered shipwrecks in the Pacific exceeds one hundred thousand.,
S41,A map contained entirely within the territory it depicts depicts itself accurately.,
S42,The set of all sets that are not members of themselves is a member of itself.,
S43,Nothing is both entirely red and entirely green all over.,
S44,The total number of species that existed before the Cambrian is a prime number.,
S45,The number of prime numbers below the largest integer ever written down is odd.,
S46,This sentence is false.,
S47,Human beings require oxygen to survive.,
S48,A river that runs dry for four months a year is a permanent river.,
S49,Diverting scarce medicine from an elderly patient to a child is justified.,
S50,A dialect understood by 60 per cent of neighbouring speakers is a separate language.,
S51,The barber who shaves exactly those who do not shave themselves shaves himself.,
S52,A woman will be elected president of Peru in the next election.,
S53,Lying to protect a refugee from deportation is morally permissible.,
S54,A student who answered 59 out of 100 correctly has passed.,
S55,The count of raindrops that fell on Quito in 1804 is a multiple of four.,
S56,A crewed mission will reach Mars before 2045.,
S57,A treaty on autonomous weapons will be signed before 2030.,
S58,Refusing life support that the patient once requested in writing follows their wishes.,
S59,The rule that every rule has an exception has an exception.,
S60,The Amazon will lose a fifth of its remaining canopy by 2040.,
